postal_code,dist_to_cbd_m
570155,6841.9
570449,8472.1
570158,6886.5
570119,6950.3
570301,7318.3
650272,12586.4
650506,13109.8
650283,12540.2
650507,13170.6
650410,14772.9
650180,13831.2
650258,12665.3
650127,13881.5
650235,12727.4
650208,13277.3
650230,12797.9
650540,13552.8
650533,13783.5
650165,14014.2
653288,12293.0
650335,14505.1
650177,13983.0
650501,13037.3
650252,12762.2
650212,13031.1
650118,13750.1
650271,12488.5
650395,14260.2
650358,14058.3
656290,12345.8
655289,12233.6
651291,12456.1
650210,13161.9
650385,14073.7
650268,12507.8
652290,12388.8
650297,13378.8
650104,13593.0
650623,13517.8
650348,14118.1
650387,14137.8
650190,13522.5
650117,13669.7
650330,14399.9
650120,13685.0
650214,12968.4
160050,2792.9
090018,3286.9
090020,3390.2
150002,4955.5
151116,3327.4
100060,4458.5
090022,3614.9
152119,3380.1
090103,3170.8
100062,4592.5
150105,3263.2
150130,2998.5
080018,1769.8
161048,2255.9
160035,2260.2
160129,2528.9
100056,4475.7
090111,2905.0
091017,3419.6
101111,4753.8
152063,4030.2
161053,2552.2
161118,2880.5
163027,2981.0
163019,2792.0
080009,1690.0
165026,2869.2
160121,2550.1
165008,2355.8
090039,3504.4
100049,4683.9
100066,4780.6
100087,4880.2
100088,4859.9
102111,4784.5
160122,2500.5
162131,2577.5
162025,2800.3
150082,3560.5
164127,2409.9
670488,14639.8
671633,15233.2
674633,15058.7
670127,13669.6
670216,13120.6
670150,13894.5
670131,13393.8
670232,13438.7
670208,13039.1
670430,14432.0
670466,14272.9
670526,14711.1
670221,13273.4
670234,13652.7
670125,13641.8
672546,14667.5
670602,14562.5
670176,14149.2
670487,14611.5
670457,14556.4
670652,14978.9
670604,14554.8
670177,14284.6
670164,13999.7
670517,14844.9
670450,14128.1
670222,13212.1
670624,15029.9
670621,14944.6
670211,13016.2
670524,14712.7
670518,14723.8
670619,14959.7
670650,14974.2
670153,13830.9
670178,14320.6
670163,14016.2
670545,14538.6
670651,14923.5
260006,6030.7
590017,10685.4
590010,10495.9
162008,1365.1
050034,1023.3
200640,2584.3
180010,2126.0
081004,1348.2
200635,2475.8
210662,2412.6
212672,2704.5
210668,2559.2
081007,1225.6
080008,1231.3
200639,2606.9
680005,15326.4
684476,16233.6
680570,16986.6
680119,15358.1
680251,15771.1
681484,16318.6
683484,16239.8
680444,16626.1
680450,16582.4
684686,17501.2
680408,16234.2
680289,16168.0
680402,16271.6
680484,16263.7
680681,17626.9
680003,15436.6
680441,16529.0
680789,16771.2
680162,14900.0
680280,16093.1
680412,16213.2
680617,17348.5
680414,16249.9
680766,16525.1
530641,10113.8
680626,17210.7
680627,17161.4
680569,16989.9
680573,16915.3
680702,16706.3
680113,15222.9
685296,15800.8
680159,14947.9
680455,16651.3
680567,16937.0
680529,17028.1
680557,17113.8
680437,16536.0
120423,9483.1
120703,10362.5
120706,10203.2
120729,10048.3
120702,10352.3
120364,9695.0
120320,10220.1
120731,10091.3
120371,10059.9
120510,10487.1
120708,10197.2
120712,10211.7
120373,10117.2
120424,9399.1
121441,10191.2
120426,10148.3
120204,10602.7
120458,9865.6
120101,10072.8
120115,9900.3
370051,5835.5
370057,5938.1
370019,6560.6
370043,6003.9
380101,5377.5
400018,7324.9
380095,5643.5
390058,4941.9
400414,6406.6
400035,6877.8
400330,7482.9
400313,7658.2
370054,5949.2
370092,5864.7
370055,5988.2
400032,6841.1
380123,5316.3
400842,6717.9
400326,7507.5
400846,6695.5
530001,9945.7
530674,10376.1
530240,9073.5
530403,11156.1
530520,10746.0
530704,9869.2
530022,9837.5
530017,9778.7
530677,10257.6
530327,10528.1
530687,10808.8
530618,10088.0
530650,10247.3
530697,10844.4
530601,10335.3
530706,9918.4
530542,11183.8
530568,11150.7
530166,8458.9
530576,11094.0
530575,11067.4
530137,8167.5
530445,11503.0
530509,10540.2
533988,10982.5
530232,9174.5
530239,9032.1
530251,9472.5
531699,11037.6
530513,10581.1
530103,8953.2
530685,10745.5
530408,10964.9
530231,9119.6
530640,10108.0
530628,9955.8
538698,10907.9
530430,11082.3
530522,10838.3
600306,14601.5
600040,12828.9
600036,12706.4
600048,13017.7
600241,13607.4
600034,12807.5
600244,13730.0
600315,14841.7
600310,14854.1
600065,13155.0
600064,13069.1
600224,14237.0
600248,13921.9
600021,13201.4
600266,13461.9
600219,14062.8
600204,13516.7
600319,15174.1
600405,11950.2
600413,12140.0
600239,13784.0
602285,13050.6
600103,13864.6
600323,15337.2
603286,13329.4
610114,15171.6
640185,17064.3
640211,16847.3
640492,15808.0
640481,15631.8
640904,19411.9
640925,19071.7
