school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score,school_tier,total_cca,lat,lon
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk   ,828772,CO-ED SCHOOL,0,0,0,0.62,1.28,0.15,2.0,0.0,29,2,4,1,3,1,5,0,0,-0.1335583531355111,Tier 3,14,1.40187220643293,103.898801330302
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,CO-ED SCHOOL,0,0,0,0.59,0.54,0.58,1.68,0.0,30,2,3,0,4,1,6,0,0,-0.1403178923439361,Tier 3,14,1.37775890093367,103.741832917421
TANJONG KATONG PRIMARY SCHOOL,10 Seraya Road   ,437259,CO-ED SCHOOL,0,0,0,0.57,0.82,0.47,1.36,0.0,29,2,4,0,5,1,5,0,0,-0.1483373036880658,Tier 3,15,1.30498489044822,103.899999965407
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,CO-ED SCHOOL,0,0,0,0.52,0.56,0.24,1.21,0.0,24,2,5,0,4,2,6,0,0,-0.1821549786483181,Tier 3,17,1.35070739237744,103.951399541868
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent   ,737803,CO-ED SCHOOL,0,0,0,0.61,1.26,0.18,1.45,0.0,29,2,4,0,6,1,4,0,0,-0.1832058765790595,Tier 3,15,1.44700426493785,103.801889031334
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,CO-ED SCHOOL,0,0,0,0.46,0.27,0.11,0.93,0.55,29,2,4,0,6,2,5,1,0,-0.1848019365453772,Tier 3,17,1.31759126757284,103.883845744916
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,CO-ED SCHOOL,0,0,0,0.51,0.2,0.46,1.18,0.0,25,2,6,1,9,2,3,0,0,-0.192074267689875,Tier 3,21,1.45125024371543,103.815858858929
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4   ,769028,CO-ED SCHOOL,0,0,0,0.63,1.05,0.05,1.2,0.0,22,2,3,2,6,3,3,0,0,-0.2017177283403872,Tier 3,17,1.41630663159387,103.838794077233
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW   ,455789,BOYS' SCHOOL,0,0,0,0.21,0.13,0.31,0.38,0.7,34,2,4,0,6,1,2,2,0,-0.2141206390674017,Tier 3,13,1.31878997295135,103.917258129598
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,CO-ED SCHOOL,0,0,0,0.56,0.79,0.04,1.13,0.62,23,2,2,1,5,4,5,0,0,-0.2156775192029501,Tier 3,17,1.32980598760785,103.931710293058
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE   ,545092,CO-ED SCHOOL,0,0,0,0.62,0.35,0.42,1.47,0.0,29,2,5,0,7,1,4,0,0,-0.226469596415088,Tier 3,17,1.39340997767762,103.904559511997
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,828728,CO-ED SCHOOL,0,0,0,0.57,0.82,0.06,1.32,0.0,29,2,3,0,5,3,4,0,0,-0.2468635907129761,Tier 3,15,1.40683570215319,103.899078139493
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,738079,CO-ED SCHOOL,0,0,0,0.56,0.3,0.19,1.0,0.53,29,2,5,0,5,2,7,0,0,-0.2549813978378054,Tier 3,19,1.43273620725049,103.79023031392
CHIJ (KELLOCK),1 Bukit Teresa Road   ,99757,GIRLS' SCHOOL,0,0,0,0.33,0.14,0.24,0.46,0.5,30,0,8,0,6,1,3,1,0,-0.2563494290848099,Tier 3,18,1.275022722964,103.828157564896
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE   ,128104,CO-ED SCHOOL,0,0,0,0.48,0.4,0.43,1.18,0.0,29,2,3,0,5,2,5,0,0,-0.2621155547606775,Tier 3,15,1.3132658326807,103.756629101811
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8   ,538787,CO-ED SCHOOL,0,0,0,0.62,0.61,0.09,1.34,0.0,38,2,5,0,3,2,5,0,0,-0.273223406983154,Tier 3,15,1.37820062547641,103.894667159512
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,GIRLS' SCHOOL,0,0,0,0.3,0.32,0.39,0.53,0.86,27,2,4,0,8,1,3,1,0,-0.2777405698743329,Tier 3,16,1.30648535277087,103.911105620496
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,CO-ED SCHOOL,0,0,0,0.67,0.25,0.6,0.76,1.32,22,2,2,0,4,2,5,0,0,-0.2853431020021552,Tier 3,13,1.32664424544839,103.882227964852
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,CO-ED SCHOOL,0,0,0,0.48,0.53,0.13,1.21,0.0,22,2,6,0,7,1,5,0,0,-0.2923037362340736,Tier 3,19,1.29133439161334,103.824424680531
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,CO-ED SCHOOL,0,0,0,0.57,0.19,0.42,1.28,0.0,25,2,4,0,5,1,5,0,0,-0.3085735168360903,Tier 3,15,1.39444529636566,103.897812229905
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6   ,768960,CO-ED SCHOOL,0,0,0,0.54,0.72,0.01,1.25,0.74,32,2,3,0,4,3,5,0,0,-0.3187354791535638,Tier 3,15,1.42752327193727,103.848190787869
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,679946,CO-ED SCHOOL,0,0,0,0.61,1.01,0.03,1.15,0.22,29,2,5,0,6,1,3,0,0,-0.3406058254360518,Tier 3,15,1.38944145898943,103.766195711835
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,CO-ED SCHOOL,0,0,0,0.42,0.29,0.01,0.38,0.39,24,2,6,3,6,3,5,0,0,-0.3655276755864499,Tier 3,23,1.33659726465816,103.736089481883
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD   ,479239,CO-ED SCHOOL,0,0,0,0.44,0.32,0.02,0.53,0.67,25,2,6,0,4,3,5,0,0,-0.3694626829756212,Tier 3,18,1.33104585441349,103.910934011337
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,GIRLS' SCHOOL,0,0,0,0.36,0.24,0.37,0.48,0.94,26,2,3,0,4,1,3,1,0,-0.3711947103312876,Tier 3,11,1.35742952269615,103.864009397373
OASIS PRIMARY SCHOOL,71 Edgefield Plains   ,828716,CO-ED SCHOOL,0,0,0,0.64,0.85,0.03,0.94,0.38,24,2,4,0,7,1,4,0,0,-0.3714180007147769,Tier 3,16,1.40462413200793,103.911120600638
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE   ,757715,CO-ED SCHOOL,0,0,0,0.59,0.65,0.02,1.2,1.12,27,2,4,1,6,1,6,0,0,-0.3872655136883973,Tier 3,18,1.44504676205659,103.82102212387
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,GIRLS' SCHOOL,0,0,0,0.33,0.11,0.26,0.6,0.88,29,2,3,0,3,1,5,1,0,-0.3891956652077534,Tier 3,12,1.36646014136363,103.768739256709
WATERWAY PRIMARY SCHOOL,70 Punggol Drive   ,828802,CO-ED SCHOOL,0,0,0,0.56,0.77,0.02,1.07,0.17,24,2,6,0,4,1,3,0,0,-0.3916830787571767,Tier 3,14,1.39882800626578,103.918621581556
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,CO-ED SCHOOL,0,0,0,0.47,0.76,0.03,1.59,0.71,30,2,3,1,5,2,4,0,0,-0.3918541192624089,Tier 3,15,1.36360590588314,103.9389409004
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,CO-ED SCHOOL,0,0,0,0.54,0.23,0.02,0.28,0.17,23,2,5,1,7,3,4,0,0,-0.3976861286595113,Tier 3,20,1.3858892193692,103.767794469258
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link   ,544974,CO-ED SCHOOL,0,0,0,0.39,0.34,0.01,0.36,0.57,30,2,6,3,5,3,5,0,0,-0.3978177320343305,Tier 3,22,1.38282243016299,103.895961877928
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,CO-ED SCHOOL,0,0,0,0.58,1.13,0.02,0.99,0.62,22,2,4,0,4,1,3,0,0,-0.4017460427995075,Tier 3,12,1.37223290983498,103.852132214306
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,CO-ED SCHOOL,0,0,0,0.52,0.8,0.02,0.73,1.34,25,2,3,0,4,2,6,0,0,-0.4028025042180556,Tier 3,15,1.37954887512229,103.769313521752
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,CO-ED SCHOOL,0,0,0,0.73,0.72,0.05,1.58,0.0,31,2,3,0,4,1,3,0,0,-0.410685412548221,Tier 3,11,1.37505696315817,103.945289416873
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,649223,CO-ED SCHOOL,0,0,0,0.43,0.11,0.06,0.42,0.62,30,2,5,0,4,4,4,0,0,-0.4155163511128243,Tier 3,17,1.3448790560014,103.699286360581
ST. MARGARET'S SCHOOL (PRIMARY),136 Sophia Road   ,228197,GIRLS' SCHOOL,0,0,0,0.26,0.29,0.36,0.93,0.35,26,2,4,0,5,2,4,0,0,-0.4166618074707223,Tier 3,15,1.30390355715254,103.845955315605
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR   ,149303,CO-ED SCHOOL,0,0,0,0.5,0.25,0.01,1.0,1.31,30,2,6,0,5,2,5,0,0,-0.4343922224423087,Tier 3,18,1.29559365009015,103.807548617332
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,GIRLS' SCHOOL,0,0,0,0.34,0.25,0.29,0.88,1.29,29,2,3,0,5,2,6,0,0,-0.4459124770688257,Tier 3,16,1.31194344271383,103.902902557195
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,519075,CO-ED SCHOOL,0,0,0,0.57,0.33,0.19,1.01,0.85,24,2,4,0,4,1,5,0,0,-0.447119227333938,Tier 3,14,1.36555714668553,103.960918869319
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,CO-ED SCHOOL,0,0,0,0.61,0.54,0.01,0.57,0.73,23,2,3,0,5,2,5,0,0,-0.4473205914723493,Tier 3,15,1.37246063927999,103.957020286115
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,797538,CO-ED SCHOOL,0,0,0,0.62,0.6,0.04,0.89,0.64,33,2,4,0,5,1,5,0,0,-0.4500420458073005,Tier 3,15,1.39726966050479,103.880330305684
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,569878,CO-ED SCHOOL,0,0,0,0.39,0.31,0.0,0.27,0.58,23,2,3,1,4,3,7,0,0,-0.4517781141107782,Tier 3,18,1.37637683547682,103.843252803742
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,CO-ED SCHOOL,0,0,0,0.59,0.92,0.07,1.07,0.74,24,2,2,1,5,1,4,0,0,-0.4534638369009252,Tier 3,13,1.33917519796104,103.698803732244
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link   ,544799,CO-ED SCHOOL,0,0,0,0.56,0.65,0.01,0.76,1.72,29,2,7,4,6,1,3,0,0,-0.4679014743113252,Tier 3,21,1.39467010299293,103.889926221247
