postal_code,num_unique_hawker_500m,num_unique_hawker_1km,walking_dist_hawker_m
464010,1,4,334.0
463010,1,4,307.0
461010,1,4,375.0
460167,0,1,931.0
460160,0,1,998.0
460161,0,1,1057.0
461029,0,2,958.0
410664,0,1,856.0
410661,0,1,1000.0
410665,0,1,938.0
410662,0,1,965.0
410663,0,1,918.0
410108,0,1,1004.0
410106,0,2,1086.0
570110,0,0,1448.0
570104,0,3,1211.0
570108,0,2,1411.0
570105,0,3,1319.0
570116,0,1,1412.0
570121,0,2,1510.0
570115,0,0,1514.0
570176,0,1,1393.0
570185,0,0,1687.0
570188,0,0,1770.0
570171,0,1,1257.0
570180,0,1,1561.0
570193,0,0,1627.0
570195,0,1,1596.0
570184,0,0,1686.0
570309,1,1,207.0
570308,1,1,372.0
570307,1,1,360.0
570304,1,1,401.0
570306,1,1,448.0
570313,1,1,129.0
570305,1,1,401.0
570406,0,2,1676.0
570403,0,2,1707.0
570022,0,1,991.0
570024,1,1,615.0
570023,1,1,506.0
570148,1,3,809.0
570503,0,0,1727.0
570146,1,3,870.0
570147,1,4,722.0
570149,1,4,775.0
570150,1,3,880.0
570131,0,2,1320.0
570124,0,2,1458.0
570126,0,2,1309.0
570138,0,3,1021.0
570130,0,2,1385.0
570141,0,2,1042.0
570144,0,2,1141.0
570111,0,1,1384.0
570113,0,2,1343.0
570112,0,2,1263.0
570136,0,3,886.0
570120,0,2,1528.0
570123,0,2,1447.0
570106,0,3,1301.0
570125,0,2,1405.0
570107,0,3,1364.0
570142,0,2,1090.0
570127,0,2,1425.0
570118,0,2,1390.0
570154,0,1,1116.0
570153,0,1,1028.0
570166,0,1,1357.0
570182,0,0,1625.0
570175,0,1,1497.0
570172,0,1,1332.0
570177,0,1,1372.0
570181,0,1,1571.0
570178,0,1,1509.0
570262,0,3,1274.0
570248,0,3,839.0
570233,0,1,1233.0
570293,0,1,1468.0
570234,0,1,1299.0
570285,0,1,1179.0
570249,0,3,778.0
570252,0,3,736.0
570243,0,3,778.0
570239,0,3,891.0
570241,1,3,840.0
570237,0,2,1552.0
570250,0,3,739.0
570263,0,4,1305.0
570254,0,3,848.0
570260,0,3,1202.0
570236,0,1,1439.0
570246,0,3,967.0
570226,0,1,1471.0
570229,0,1,1310.0
570228,0,1,1406.0
570227,0,1,1458.0
570224,0,2,1562.0
570220,0,2,1375.0
570213,0,2,1431.0
570221,0,2,1388.0
570205,0,1,1545.0
570216,0,2,1254.0
570207,0,0,1501.0
570209,0,1,1378.0
570230,0,1,1250.0
570206,0,1,1508.0
570211,0,1,1309.0
570289,0,1,1385.0
570264,0,4,1303.0
570288,0,1,1347.0
570272,0,1,1234.0
570268,0,1,1220.0
570269,0,1,1180.0
572273,0,1,1559.0
570286,0,1,1501.0
570270,0,1,1122.0
570267,0,2,1300.0
571275,0,2,1505.0
570271,0,1,1125.0
571273,0,2,1516.0
570290,0,2,1466.0
570265,0,3,1326.0
570448,0,1,1406.0
570311,1,1,374.0
570445,0,1,1445.0
570454,0,0,1586.0
570451,0,0,1551.0
570407,0,2,1651.0
570449,0,1,1465.0
570441,0,1,1500.0
570025,1,1,696.0
570135,0,3,1234.0
570140,0,3,1083.0
570128,0,2,1423.0
570102,0,3,1146.0
570117,0,2,1461.0
570103,0,3,1200.0
570168,0,1,1257.0
570167,0,1,1267.0
570156,0,1,992.0
570179,0,1,1603.0
570155,0,1,1021.0
570158,0,1,1080.0
570161,0,1,1209.0
570165,0,1,1394.0
570183,0,0,1738.0
570194,0,1,1543.0
570164,0,1,1319.0
570190,0,0,1784.0
570157,0,1,1077.0
570197,0,0,1598.0
570196,0,1,1562.0
570192,0,0,1644.0
570292,0,1,1494.0
570251,0,3,673.0
570259,0,3,1253.0
570242,1,3,743.0
570204,0,0,1578.0
570214,0,2,1396.0
570223,0,2,1492.0
570291,0,1,1503.0
652464,1,1,432.0
570310,1,1,306.0
570303,1,1,409.0
570408,0,2,1734.0
570442,0,1,1475.0
570402,0,2,1623.0
570405,0,2,1888.0
570450,0,0,1508.0
570444,0,1,1383.0
570455,0,0,1541.0
570159,0,1,1096.0
570162,0,1,1220.0
570186,0,0,1672.0
570160,0,1,1131.0
570187,0,0,1752.0
570258,0,3,1208.0
570257,0,3,1152.0
570238,0,3,971.0
570240,0,3,846.0
570245,0,3,906.0
570261,0,3,1224.0
570212,0,1,1450.0
570222,0,2,1473.0
570231,0,1,1340.0
570201,0,1,1625.0
570301,1,1,531.0
570452,0,0,1600.0
570137,0,3,1175.0
651292,0,0,2294.0
652435,1,1,821.0
651436,1,1,834.0
651451,1,1,404.0
654450,1,1,625.0
651450,1,1,640.0
652438,1,1,644.0
653438,1,1,632.0
651438,1,1,561.0
651439,1,1,574.0
652445,0,3,814.0
651441,1,1,458.0
651440,1,1,536.0
651460,1,1,507.0
652460,1,1,509.0
651448,1,1,450.0
652448,1,1,386.0
654460,1,1,395.0
653448,1,1,443.0
653460,1,1,475.0
652468,1,1,334.0
650228,0,0,1802.0
650225,0,0,1766.0
650229,0,0,1898.0
650230,0,0,1992.0
650280,0,0,2187.0
650278,0,0,2288.0
650283,0,0,2253.0
650281,0,0,2265.0
650267,0,0,2255.0
650263,0,0,2544.0
650264,0,0,2510.0
650271,0,0,2455.0
650260,0,0,2456.0
650269,0,0,2330.0
650265,0,0,2513.0
650259,0,0,2520.0
650272,0,0,2304.0
650274,0,0,2301.0
650242,0,0,2092.0
650233,0,0,1934.0
650247,0,0,2293.0
650239,0,0,1993.0
650238,0,0,1920.0
650235,0,0,2125.0
650240,0,0,1844.0
650231,0,0,1834.0
650248,0,0,2216.0
650234,0,0,1970.0
650249,0,0,2190.0
650244,0,0,2342.0
650164,0,2,1165.0
650143,0,1,844.0
650163,0,2,1147.0
650160,0,2,1117.0
650162,0,2,1013.0
650205,0,0,1637.0
654293,0,0,2447.0
650208,0,0,1690.0
650217,0,0,2100.0
650212,0,0,1961.0
650206,0,0,1685.0
650219,0,0,2068.0
650215,0,0,2001.0
650213,0,0,1978.0
652296,0,0,1486.0
650360,0,0,1461.0
650377,0,0,1294.0
650307,0,1,916.0
650302,0,1,837.0
650364,0,1,1338.0
650305,0,1,875.0
650368,0,0,1395.0
650375,0,1,1217.0
650371,0,0,1345.0
650304,0,1,843.0
650359,0,0,1552.0
650333,0,0,1568.0
650311,0,1,1254.0
650312,0,1,1202.0
