school_name,alp_domain,alp_title,llp_domain1,llp_title
Ang Mo Kio Primary,Languages,"POISE@AMKP � Programme to develop Outstanding, Inspired and SEnsitive communicators at Ang Mo Kio Primary School",Community Service & Student Leadership,Nurturing the Confident AMKPian
Anglo-Chinese School (Junior),Interdisciplinary,Creative Thinkers,Sports & Outdoor Education,"All for Sports, Sports for All @ ACS(Junior)"
Anglo-Chinese School (Primary),Languages,"Dream it, Do it",Sports & Outdoor Education,Building Character Through Sports
Beacon Primary,STEM - Sustainability,Beacon Environmental Stewardship,Community Service & Student Leadership,BEACON FUTURE READY PROGRAMME (BFRP) - Beacon At Your Service (BAYS)
Bedok Green Primary,Interdisciplinary,Environmental Education (E2@BGPS),Sports & Outdoor Education,Sports and Aesthetics To Reinforce Values Education (STRIVE @ BGPS)
Bendemeer Primary,STEM - Sustainability,E2SL@BPS (Environment Education in Sustainable Living),Music & Performing Arts,Bendemeer�s TEMPO (Towards Enhancement of Music and Performing Arts Opportunities)
Blangah Rise Primary,STEM - Material Science,Aspiring Confident Engineers (ACE)@BRPS,Community Service & Student Leadership,Leader for Life 
Boon Lay Garden Primary,Interdisciplinary,Thinking curriculum through Habits of Mind @ BLGPS - Developing Self-directed Learners,Community Service & Student Leadership,Empowering the next generation of Eco Stewards through Environment Education 
Bukit Panjang Primary,Languages,CAR2E : Critical & Appreciative Reading to Respond Empathetically,Music & Performing Arts,i2 Can Dance!
Bukit Timah Primary ,Interdisciplinary,Inquiry-based Learning supported by Thinking Routines,Music & Performing Arts,Music for Everyone - Building Empathy and Resilience
Bukit View Primary,Interdisciplinary,Inspiring Reflective and Innovative Self-directed learners (IRIS),Music & Performing Arts,Arts Alive! - Nurturing Confident Leaders through the Arts
Canberra Primary,ICT & Media,"Foundation Stage: Start Young, Start It Right � Curating My Learning (P1 to P4); Orientation Stage: Orientation to My Future Learning � Ready for Tomorrow (P5 and P6)",Music & Performing Arts,Immersing in Canberra Experience through Musical Theatre Education
Canossa Catholic Primary,STEM - Sustainability,MAKE@CCPS,Sports & Outdoor Education,"Nurturing Physically Fit, Adventurous, Courageous and Empowered Leaders through Sports (PACE@CCPS)"
Cantonment Primary,Interdisciplinary,Thinking Curriculum @Cantonment Primary School (TC@CPS),Music & Performing Arts/ Visual Arts & Design  ,PAVE LLP; Performing Arts for Values and Excellence; Learning for Life Programme 
Casuarina Primary,STEM - Sustainability,Nature-based Education towards Environmental Sustainability,Visual Arts & Design ,Holistic Education through the ARTS at Casuarina Primary School (HE�ARTS@CAPS)
Catholic High School (Primary),STEM - Sustainability,Coding in Environmental Solutions (CODES),Sports & Outdoor Education,Values Infused Through Active Learning in Sports (VITALS)
Cedar Primary,Interdisciplinary,Creative and Inventive Thinking (CIT) Programme,Community Service & Student Leadership,Upstanding Leaders @ Cedar Primary School
Changkat Primary,STEM - Sustainability,ECO@CKP,Sports & Outdoor Education,"Sports, Outdoor, Athletics & Recreation @ Changkat Primary (SOAR@CKP)"
CHIJ (Katong) Primary ,Languages,"Confident, Competent and Respectful Communicators",Community Service & Student Leadership ,Community Student Leadership
CHIJ (Kellock),Interdisciplinary,Future-ready K-Champs ,Music & Performing Arts,ArtsONE+ : Purposeful Learning of Music and Performing Arts Using the Self-regulated Approach
CHIJ Our Lady of Good Counsel,Languages,Drama and Literary Arts for LifE! (D�LitE),Community Service & Student Leadership,The PROACTIVE Leader in Me Development Programme
CHIJ Our Lady of the Nativity,Languages,"LEAPS (Learn, Engage, Articulate & Perform!)",Sports & Outdoor Education,The SPARK (Sports for Active and Resilient Kids)
CHIJ Our Lady Queen of Peace,STEM - Sustainability,STEM in Sustainability,Community Service & Student Leadership,Character Lives In My Behaviour (CLIMB)
CHIJ Primary (Toa Payoh),STEM - Sustainability,Trash to Treasure,Sports & Outdoor Education,IJSports
CHIJ St Nicholas Girls' (Primary),STEM - Sustainability,Maker's Fantasy - Innovations in Math and Science for a Sustainable Earth ,Community Service & Student Leadership,A Leader in Every St Nicks Girl (Student Leadership) 
Chongfu School,Innovation & Enterprise,Chongfu Design Thinkers' Programme ,Sports & Outdoor Education,Growing Character through Sports and Outdoor Education
Chongzheng Primary,Innovation & Enterprise,EPIC -  Empowering Pupils to Innovate for the Community ,Community Service & Student Leadership,Chong Zheng Community Leaders (CZCL)
Chua Chu Kang Primary,STEM - Sustainability,A Sustainable Environment with Robotics,Community Service & Student Leadership,Leading through C.A.R.E
Clementi Primary,Interdisciplinary,"Inspiring Thinking Tinkerers @Clementi Primary: An Interdisciplinary Approach to develop Critical and Inventive Thinking, Collaborative and Communication skills",Visual Arts & Design ,Instilling Lifelong Learning Through Visual Arts
Compassvale Primary,STEM - Game Design and Making,Developing 21st Century Competencies through Robotics ,Music & Performing Arts,Developing Aesthetics Appreciation  Through Music Empowerment 
Concord Primary,Interdisciplinary,"E3 (Enable, Enrich and Empower) Reasoning @ Concord",Sports & Outdoor Education,Outdoor Education@Concord
Corporation Primary ,Interdisciplinary,Urban Food Warriors ,Music & Performing Arts,Creativity Through Dance
Damai Primary,ICT & Media ,Digital and Media Literacy through S.E.N.S.E@ Damai ,Sports & Outdoor Education,SPARKS@Play Programme
Dazhong Primary,STEM - Sustainability,Green Makers@Dazhong ,Music & Performing Arts,Arts Education Programme (AEP) @ Dazhong 
De La Salle School,Innovation & Enterprise,DISC in DLSS (Design.Innovate.Service.Community) ,Community Service & Student Leadership,Nurturing Mindful Servant Leaders @ De La Salle
East Spring Primary,ICT & Media,Digital Creativity @ ESPS,Sports & Outdoor Education,SPRING for Life - Developing Character through Sports 
Edgefield Primary,STEM - Sustainability,Environmental Science and Sustainability,Music & Performing Arts,Values Inculcation through Dance
Elias Park Primary,Interdisciplinary,nuCLEAR@EPPS (nurturing Citizen Leaders with Empathy And Resilience),Music & Performing Arts,Arts Creatively Expressed @ Elias - ACE@Elias
Endeavour Primary,Interdisciplinary,Nurturing Thinking ,Music & Performing Arts,Every Child A Performer (ECAP)    
Evergreen Primary,STEM - Sustainability,Environmental Innovators and Agents of Change,Music & Performing Arts,Learning Through The Arts & Learning In The Arts
Fairfield Methodist School (Primary),Languages,"Fairfield wRiters, Reporters and Ambassadors Programme (FR2AP)",Music & Performing Arts/ Visual Arts & Design  ,HeARTS: Building Empathy and Social Awareness through the arts
Farrer Park Primary,Interdisciplinary ,Caring for the Community through Interdisciplinary Learning,Community Service & Student Leadership,iCARE - Leaders of Tomorrow
Fern Green Primary ,STEM - Sustainability,FGPS Maker Education ,Sports & Outdoor Education,"Get REAL!@FGPS (Relate, Explore, Acquire for Life)"
Fengshan Primary,Interdisciplinary,Sustainability � Nurturing Environment Champions for a Sustainable Future,Sports & Outdoor Education,Anchored and Driven Leaders through Sports Excellence
Fernvale Primary,STEM - Sustainability,Future Skills programme,Community Service & Student Leadership,Greenova- Innovation in our green efforts
First Toa Payoh Primary,ICT & Media,Literacy Through Photojournalism,Sports & Outdoor Education,Character Building Through Outdoor Experiential Learning
Frontier Primary,Interdisciplinary,"Nurturing the Thinking F.A.C.E (Frontierers who are Adaptive, Communicative and Empowered) for tomorrow",Music & Performing Arts,DANCEFRONT (LLP)
Fuchun Primary,Languages ,Speak Up!,Music & Performing Arts,Aesthetically Responding To Shine (ARTS)
Fuhua Primary,STEM - Transportation,Students As Designers for the 21st Century,Community Service & Student Leadership,Environmental Champions @ FHPS Programme
Gan Eng Seng Primary,Interdisciplinary,From Farm to Table,Music & Performing Arts,For the Love of the Arts
Geylang Methodist School (Primary),Languages,"Competent, Confident and Empathetic Communicators in Speech and Writing ",Community Service & Student Leadership,"GM Earth Warriors Environment Education (EE): To Develop Student Leaders who Empathise, Enrich and Empower "
Gongshang Primary,Languages,Fluent Speakers Future Stars- Developing Gongshangers into Effective Communicators,Sports & Outdoor Education,S.O.A.R. (Sports Opportunities and Achievement pRogramme)
Greendale Primary,Interdisciplinary,Learning by Design ,Sports & Outdoor Education,Developing 21st Century Lifelong Learners through Outdoor Education
Greenridge Primary ,STEM - Health Science,"C.O.D.E.R.S (Computational Thinking to Develop Empathetic, Resilient Solvers)",Community Service & Student Leadership,NE2+ (positive): Nurturing Ethical and Effective Leaders with Positive mind-sets
Greenwood Primary,Languages,Bilingual LIterature Appreciation Student Series (BLISS),Community Service & Student Leadership,"We are Thinking, Inventive and Zealous KIdZ (WHIZZ) to serve the community"
Haig Girls' School,Interdisciplinary,Innovation and Service Learning through Integrated Project Work (IPW@HGS),Music & Performing Arts,Character and Leadership through the Performing and Visual Arts
Henry Park Primary,STEM - Sustainability,HPPS ALP Sustainability Programme,Sports & Outdoor Education,Sports4Life@HPPS
Holy Innocents' Primary,STEM - Sustainability,Digiminds@HIPS,Visual Arts & Design ,Artistry in Ceramic @ HIPS
Hong Wen School,Interdisciplinary,Innovative & Inventive Learners through Integration of Curriculum (I to I),Sports & Outdoor Education,Learning for Life Programme in Sports and Outdoor Education
Horizon Primary,STEM - Sustainability,Computational Thinking in Mathematics ,Community Service & Student Leadership,A Whole-school Student Leadership Development Programme through CCE
Hougang Primary,STEM - Sustainability,X-Cell@HGP,Sports & Outdoor Education,Character Development through Outdoor Education
Huamin Primary ,Interdisciplinary,Education for Sustainable Development (ESD @ Huamin),Visual Arts & Design ,Creative Arts Programme for Students (C.A.P.S.)
