school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,Vacancy,Applicant,Admission,Popularity,distprog_ICT,distprog_Interdisciplinary,distprog_Languages,distprog_STEM,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affliation_count,top_psle_score
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,649223,CO-ED SCHOOL,0,0,0,46,0,100%,-,0,1,0,0,5,0,4,4,4,0,0
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,679946,CO-ED SCHOOL,0,0,0,21,1,100%,0.05,0,0,0,1,5,0,6,1,3,0,0
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD   ,677742,CO-ED SCHOOL,0,0,0,20,0,100%,-,0,0,0,1,2,0,4,1,4,0,0
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,649188,CO-ED SCHOOL,0,0,0,20,7,100%,0.35,0,1,0,0,4,0,4,2,5,0,0
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,519075,CO-ED SCHOOL,0,0,0,35,2,100%,0.06,1,0,1,0,4,0,4,1,5,0,0
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,738079,CO-ED SCHOOL,0,0,0,34,5,100%,0.15,0,0,1,1,5,0,5,2,7,0,0
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,738853,CO-ED SCHOOL,0,0,0,32,8,100%,0.25,0,0,1,3,11,0,7,1,6,0,0
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,738240,CO-ED SCHOOL,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,6,0,0
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,538882,CO-ED SCHOOL,0,0,0,47,0,100%,-,0,1,0,0,4,1,6,2,4,0,0
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,CO-ED SCHOOL,0,0,0,32,0,100%,-,0,0,0,1,6,1,4,1,6,0,0
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,CO-ED SCHOOL,0,0,0,24,19,100%,0.79,0,1,0,0,3,1,4,3,4,0,0
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,CO-ED SCHOOL,0,0,0,49,1,100%,0.02,0,0,1,0,4,0,5,2,7,0,0
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,CO-ED SCHOOL,0,0,0,20,14,100%,0.70,0,0,0,0,3,0,4,2,4,0,0
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,689100,CO-ED SCHOOL,0,0,0,48,1,100%,0.02,0,1,0,0,7,0,5,1,3,0,0
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,538720,CO-ED SCHOOL,0,0,0,37,0,100%,-,0,0,0,2,2,1,4,2,7,0,0
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,768679,CO-ED SCHOOL,0,0,0,40,0,100%,-,0,0,0,1,5,1,3,1,5,0,0
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,CO-ED SCHOOL,0,0,0,20,16,100%,0.80,1,0,0,0,5,2,4,1,4,0,0
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,609558,CO-ED SCHOOL,0,0,0,58,1,100%,0.02,0,1,0,1,4,0,7,1,6,0,0
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,529393,CO-ED SCHOOL,0,0,0,67,0,100%,-,0,0,0,1,3,0,3,2,4,0,0
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,169485,CO-ED SCHOOL,0,0,0,29,0,100%,-,0,0,0,1,1,0,8,2,2,0,0
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,CO-ED SCHOOL,0,0,0,20,0,100%,-,0,1,0,1,3,0,4,2,6,0,0
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,556095,CO-ED SCHOOL,0,0,0,44,0,100%,-,0,0,0,1,3,0,3,1,4,0,0
