school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score_raw,school_score,school_tier
CHIJ (KELLOCK),1 Bukit Teresa Road   ,99757,GIRLS' SCHOOL,0,0,0,0.33,0.14,0.24,0.46,0.5,30,0,8,0,6,1,3,1,0,-0.10132684286199739,-0.23432168629260036,Tier 3
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,828728,CO-ED SCHOOL,0,0,0,0.57,0.82,0.06,1.32,0.0,29,1,3,0,5,3,4,0,0,-0.10665900591119125,-0.24665249027290284,Tier 3
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,738079,CO-ED SCHOOL,0,0,0,0.56,0.3,0.19,1.0,0.53,29,1,5,0,5,2,7,0,0,-0.11020954647398315,-0.2548632331365365,Tier 3
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE   ,128104,CO-ED SCHOOL,0,0,0,0.48,0.4,0.43,1.18,0.0,29,1,3,0,5,2,5,0,0,-0.11332316639928067,-0.26206358252829265,Tier 3
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,GIRLS' SCHOOL,0,0,0,0.3,0.32,0.39,0.53,0.86,27,0,4,0,8,1,3,1,0,-0.11607007244271501,-0.26841589390013226,Tier 3
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8   ,538787,CO-ED SCHOOL,0,0,0,0.62,0.61,0.09,1.34,0.0,38,1,5,0,3,2,5,0,0,-0.11798014643102714,-0.2728330033771788,Tier 3
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,CO-ED SCHOOL,0,0,0,0.67,0.25,0.6,0.76,1.32,22,1,2,0,4,2,5,0,0,-0.1234370132364542,-0.2854521889316253,Tier 3
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,CO-ED SCHOOL,0,0,0,0.48,0.53,0.13,1.21,0.0,22,1,6,0,7,1,5,0,0,-0.1263856538639425,-0.29227101822294094,Tier 3
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,CO-ED SCHOOL,0,0,0,0.57,0.19,0.42,1.28,0.0,25,1,4,0,5,1,5,0,0,-0.13344913477681292,-0.3086055522106781,Tier 3
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6   ,768960,CO-ED SCHOOL,0,0,0,0.54,0.72,0.01,1.25,0.74,32,1,3,0,4,3,5,0,0,-0.13769468437406146,-0.31842352652791855,Tier 3
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,679946,CO-ED SCHOOL,0,0,0,0.61,1.01,0.03,1.15,0.22,29,1,5,0,6,1,3,0,0,-0.14719079963762388,-0.3403836081700299,Tier 3
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,CO-ED SCHOOL,0,0,0,0.42,0.29,0.01,0.38,0.39,24,1,6,3,6,3,5,0,0,-0.15793418582020435,-0.3652280451986608,Tier 3
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD   ,479239,CO-ED SCHOOL,0,0,0,0.44,0.32,0.02,0.53,0.67,25,1,6,0,4,3,5,0,0,-0.1596036044787359,-0.3690886312402906,Tier 3
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,GIRLS' SCHOOL,0,0,0,0.36,0.24,0.37,0.48,0.94,26,1,3,0,4,1,3,1,0,-0.16046012731662815,-0.3710693687236087,Tier 3
OASIS PRIMARY SCHOOL,71 Edgefield Plains   ,828716,CO-ED SCHOOL,0,0,0,0.64,0.85,0.03,0.94,0.38,24,1,4,0,7,1,4,0,0,-0.1605894204229291,-0.37136836332206574,Tier 3
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE   ,757715,CO-ED SCHOOL,0,0,0,0.59,0.65,0.02,1.2,1.12,27,1,4,1,6,1,6,0,0,-0.16742781150631286,-0.38718236961030217,Tier 3
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,GIRLS' SCHOOL,0,0,0,0.33,0.11,0.26,0.6,0.88,29,1,3,0,3,1,5,1,0,-0.16822484777879707,-0.389025542437262,Tier 3
WATERWAY PRIMARY SCHOOL,70 Punggol Drive   ,828802,CO-ED SCHOOL,0,0,0,0.56,0.77,0.02,1.07,0.17,24,1,6,0,4,1,3,0,0,-0.16925392379243628,-0.391405314865064,Tier 3
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,CO-ED SCHOOL,0,0,0,0.47,0.76,0.03,1.59,0.71,30,1,3,1,5,2,4,0,0,-0.16933823618595467,-0.391600290072685,Tier 3
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link   ,544974,CO-ED SCHOOL,0,0,0,0.39,0.34,0.01,0.36,0.57,30,1,6,3,5,3,5,0,0,-0.17183440030381564,-0.39737275242164893,Tier 3
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,CO-ED SCHOOL,0,0,0,0.54,0.23,0.02,0.28,0.17,23,1,5,1,7,3,4,0,0,-0.17187238996670043,-0.39746060477762307,Tier 3
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,CO-ED SCHOOL,0,0,0,0.58,1.13,0.02,0.99,0.62,22,1,4,0,4,1,3,0,0,-0.1736478958468881,-0.40156652103946333,Tier 3
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,CO-ED SCHOOL,0,0,0,0.52,0.8,0.02,0.73,1.34,25,1,3,0,4,2,6,0,0,-0.17410919792432647,-0.40263329740022347,Tier 3
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,CO-ED SCHOOL,0,0,0,0.73,0.72,0.05,1.58,0.0,31,1,3,0,4,1,3,0,0,-0.1775008004034199,-0.41047649067150416,Tier 3
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,649223,CO-ED SCHOOL,0,0,0,0.43,0.11,0.06,0.42,0.62,30,1,5,0,4,4,4,0,0,-0.17946087333457691,-0.4150092243629182,Tier 3
